Game ,0002000, reward ,-1.0005, corr ,0.343, games_won ,[420.   0.   0.   0.], total ,-343.05,  Time ,0:00:02.641643,
Game ,0004000, reward ,-1.0, corr ,0.3255, games_won ,[448.   0.   0.   0.], total ,-347.65,  Time ,0:00:05.082035,
Game ,0006000, reward ,-1.0, corr ,0.414, games_won ,[535.   0.   0.   0.], total ,-295.3,  Time ,0:00:07.600551,
Game ,0008000, reward ,-1.0, corr ,0.562, games_won ,[607.   0.   0.   0.], total ,-239.35,  Time ,0:00:10.404627,
Game ,0010000, reward ,-1.0, corr ,0.734, games_won ,[766.   0.   0.   0.], total ,-183.05,  Time ,0:00:13.325012,
Game ,0012000, reward ,-1.0, corr ,0.928, games_won ,[813.   0.   0.   0.], total ,-150.25,  Time ,0:00:16.388483,
Game ,0014000, reward ,-1.0, corr ,1.108, games_won ,[823.   0.   0.   0.], total ,-138.25,  Time ,0:00:19.625186,
Game ,0016000, reward ,-1.0, corr ,1.27, games_won ,[747.   0.   0.   0.], total ,-127.5,  Time ,0:00:23.002333,
Game ,0018000, reward ,-1.0, corr ,1.393, games_won ,[756.   0.   0.   0.], total ,-123.25,  Time ,0:00:26.362374,
Game ,0020000, reward ,-1.0, corr ,1.419, games_won ,[728.   0.   0.   0.], total ,-121.9,  Time ,0:00:29.890029,
Game ,0022000, reward ,-1.0, corr ,1.593, games_won ,[657.   0.   0.   0.], total ,-119.1,  Time ,0:00:33.466640,
Game ,0024000, reward ,-1.0, corr ,1.821, games_won ,[599.   0.   0.   0.], total ,-112.65,  Time ,0:00:37.195313,
Game ,0026000, reward ,-1.0, corr ,1.921, games_won ,[555.   0.   0.   0.], total ,-111.3,  Time ,0:00:40.883078,
Game ,0028000, reward ,-1.0, corr ,1.916, games_won ,[588.   0.   0.   0.], total ,-111.3,  Time ,0:00:44.692795,
Game ,0030000, reward ,-1.0, corr ,2.05, games_won ,[526.   0.   0.   0.], total ,-110.75,  Time ,0:00:48.602974,
Game ,0032000, reward ,-1.0, corr ,2.244, games_won ,[422.   0.   0.   0.], total ,-107.7,  Time ,0:00:52.720747,
Game ,0034000, reward ,-1.0, corr ,2.391, games_won ,[388.   0.   0.   0.], total ,-107.15,  Time ,0:00:56.886314,
Game ,0036000, reward ,-1.0, corr ,2.45, games_won ,[333.   0.   0.   0.], total ,-106.3,  Time ,0:01:01.013124,
Game ,0038000, reward ,-1.0, corr ,2.534, games_won ,[337.   0.   0.   0.], total ,-105.05,  Time ,0:01:05.248152,
