Game ,0160000, mean_rew of 4 finished g. ,-3.5, corr_moves[max:10] ,2.234, mean_rew ,-50.0,   0:00:54.289401,playing t=20.92, lr=[0.008]
Game ,0320000, mean_rew of 191 finished g. ,-3.1571, corr_moves[max:10] ,5.158, mean_rew ,-48.2,   0:01:49.500794,playing t=21.48, lr=[0.008]
Game ,0480000, mean_rew of 1659 finished g. ,-2.9554, corr_moves[max:10] ,7.59, mean_rew ,-34.4,   0:02:44.431612,playing t=20.99, lr=[0.007200000000000001]
Game ,0640000, mean_rew of 3716 finished g. ,-2.9497, corr_moves[max:10] ,8.933, mean_rew ,-15.0,   0:03:40.779958,playing t=21.56, lr=[0.007200000000000001]
Game ,0800000, mean_rew of 4618 finished g. ,-2.8482, corr_moves[max:10] ,9.598, mean_rew ,-6.45,   0:04:39.207945,playing t=21.86, lr=[0.005832]
Game ,0960000, mean_rew of 4827 finished g. ,-2.8121, corr_moves[max:10] ,9.802, mean_rew ,-4.44,   0:05:37.619701,playing t=22.19, lr=[0.0064800000000000005]
Game ,1120000, mean_rew of 4880 finished g. ,-2.8123, corr_moves[max:10] ,9.87, mean_rew ,-3.94,   0:06:33.008907,playing t=20.64, lr=[0.0064800000000000005]
Game ,1280000, mean_rew of 4903 finished g. ,-2.7536, corr_moves[max:10] ,9.895, mean_rew ,-3.67,   0:07:27.979621,playing t=20.95, lr=[0.005832]
Game ,1440000, mean_rew of 4886 finished g. ,-2.7098, corr_moves[max:10] ,9.884, mean_rew ,-3.79,   0:08:26.326029,playing t=22.32, lr=[0.005832]
Game ,1600000, mean_rew of 4893 finished g. ,-2.6648, corr_moves[max:10] ,9.879, mean_rew ,-3.68,   0:09:24.570867,playing t=22.52, lr=[0.00472392]
Game ,1760000, mean_rew of 4894 finished g. ,-2.6432, corr_moves[max:10] ,9.879, mean_rew ,-3.65,   0:10:22.968670,playing t=21.95, lr=[0.0052488000000000005]
Game ,1920000, mean_rew of 4906 finished g. ,-2.6341, corr_moves[max:10] ,9.895, mean_rew ,-3.52,   0:11:22.921144,playing t=22.62, lr=[0.0052488000000000005]
Game ,2080000, mean_rew of 4902 finished g. ,-2.6071, corr_moves[max:10] ,9.895, mean_rew ,-3.54,   0:12:21.203886,playing t=22.08, lr=[0.00472392]
Game ,2240000, mean_rew of 4899 finished g. ,-2.5287, corr_moves[max:10] ,9.893, mean_rew ,-3.49,   0:13:18.817940,playing t=21.51, lr=[0.00472392]
Game ,2400000, mean_rew of 4904 finished g. ,-2.5697, corr_moves[max:10] ,9.895, mean_rew ,-3.48,   0:14:17.065123,playing t=22.11, lr=[0.0038263752]
Game ,2560000, mean_rew of 4912 finished g. ,-2.4629, corr_moves[max:10] ,9.903, mean_rew ,-3.3,   0:15:15.326116,playing t=21.61, lr=[0.004251528]
Game ,2720000, mean_rew of 4908 finished g. ,-2.5033, corr_moves[max:10] ,9.897, mean_rew ,-3.38,   0:16:13.273491,playing t=21.68, lr=[0.004251528]
Game ,2880000, mean_rew of 4914 finished g. ,-2.4969, corr_moves[max:10] ,9.914, mean_rew ,-3.31,   0:17:10.703200,playing t=21.5, lr=[0.0038263752]
Game ,3040000, mean_rew of 4911 finished g. ,-2.4944, corr_moves[max:10] ,9.907, mean_rew ,-3.34,   0:18:08.535577,playing t=21.57, lr=[0.0038263752]
Game ,3200000, mean_rew of 4913 finished g. ,-2.5168, corr_moves[max:10] ,9.908, mean_rew ,-3.34,   0:19:06.613794,playing t=21.55, lr=[0.003099363912]
Game ,3360000, mean_rew of 4923 finished g. ,-2.5115, corr_moves[max:10] ,9.915, mean_rew ,-3.24,   0:20:03.799453,playing t=21.39, lr=[0.00344373768]
Game ,3520000, mean_rew of 4928 finished g. ,-2.4606, corr_moves[max:10] ,9.915, mean_rew ,-3.15,   0:20:58.585184,playing t=20.71, lr=[0.00344373768]
Game ,3680000, mean_rew of 4913 finished g. ,-2.4169, corr_moves[max:10] ,9.904, mean_rew ,-3.24,   0:21:52.651485,playing t=20.31, lr=[0.003099363912]
Game ,3840000, mean_rew of 4927 finished g. ,-2.4209, corr_moves[max:10] ,9.915, mean_rew ,-3.12,   0:22:46.500805,playing t=20.38, lr=[0.003099363912]
Game ,4000000, mean_rew of 4925 finished g. ,-2.3486, corr_moves[max:10] ,9.921, mean_rew ,-3.06,   0:23:40.140789,playing t=20.48, lr=[0.0025104847687200003]
Game ,4160000, mean_rew of 4912 finished g. ,-2.3821, corr_moves[max:10] ,9.905, mean_rew ,-3.22,   0:24:33.959246,playing t=20.07, lr=[0.0027894275208]
Game ,4320000, mean_rew of 4933 finished g. ,-2.3868, corr_moves[max:10] ,9.928, mean_rew ,-3.02,   0:25:27.501457,playing t=20.02, lr=[0.0027894275208]
Game ,4480000, mean_rew of 4940 finished g. ,-2.3632, corr_moves[max:10] ,9.944, mean_rew ,-2.93,   0:26:20.859861,playing t=20.22, lr=[0.0025104847687200003]
Game ,4640000, mean_rew of 4911 finished g. ,-2.3806, corr_moves[max:10] ,9.907, mean_rew ,-3.23,   0:27:13.993728,playing t=20.39, lr=[0.0025104847687200003]
Game ,4800000, mean_rew of 4922 finished g. ,-2.3954, corr_moves[max:10] ,9.915, mean_rew ,-3.14,   0:28:07.377327,playing t=20.2, lr=[0.0020334926626632004]
Game ,4960000, mean_rew of 4940 finished g. ,-2.3968, corr_moves[max:10] ,9.929, mean_rew ,-2.97,   0:29:01.445344,playing t=20.4, lr=[0.0022594362918480003]
Game ,5120000, mean_rew of 4918 finished g. ,-2.3723, corr_moves[max:10] ,9.919, mean_rew ,-3.15,   0:29:55.171856,playing t=20.52, lr=[0.0022594362918480003]
Game ,5280000, mean_rew of 4938 finished g. ,-2.3659, corr_moves[max:10] ,9.937, mean_rew ,-2.96,   0:30:48.419660,playing t=20.06, lr=[0.0020334926626632004]
Game ,5440000, mean_rew of 4940 finished g. ,-2.3828, corr_moves[max:10] ,9.936, mean_rew ,-2.95,   0:31:41.621794,playing t=20.01, lr=[0.0020334926626632004]
Game ,5600000, mean_rew of 4937 finished g. ,-2.3747, corr_moves[max:10] ,9.929, mean_rew ,-2.97,   0:32:34.816879,playing t=20.36, lr=[0.0016471290567571925]
Game ,5760000, mean_rew of 4945 finished g. ,-2.3438, corr_moves[max:10] ,9.945, mean_rew ,-2.87,   0:33:28.347271,playing t=19.99, lr=[0.0018301433963968804]
Game ,5920000, mean_rew of 4942 finished g. ,-2.3171, corr_moves[max:10] ,9.935, mean_rew ,-2.87,   0:34:21.874983,playing t=20.35, lr=[0.0018301433963968804]
Game ,6080000, mean_rew of 4945 finished g. ,-2.364, corr_moves[max:10] ,9.947, mean_rew ,-2.89,   0:35:15.272516,playing t=20.53, lr=[0.0016471290567571925]
Game ,6240000, mean_rew of 4947 finished g. ,-2.4101, corr_moves[max:10] ,9.948, mean_rew ,-2.91,   0:36:08.765229,playing t=20.41, lr=[0.0016471290567571925]
Game ,6400000, mean_rew of 4952 finished g. ,-2.3106, corr_moves[max:10] ,9.953, mean_rew ,-2.77,   0:37:02.155599,playing t=20.05, lr=[0.001334174535973326]
Game ,6560000, mean_rew of 4946 finished g. ,-2.3415, corr_moves[max:10] ,9.946, mean_rew ,-2.86,   0:37:55.207008,playing t=19.92, lr=[0.0014824161510814734]
Game ,6720000, mean_rew of 4951 finished g. ,-2.3626, corr_moves[max:10] ,9.951, mean_rew ,-2.83,   0:38:48.849036,playing t=20.41, lr=[0.0014824161510814734]
Game ,6880000, mean_rew of 4945 finished g. ,-2.3403, corr_moves[max:10] ,9.943, mean_rew ,-2.86,   0:39:42.069465,playing t=20.26, lr=[0.001334174535973326]
Game ,7040000, mean_rew of 4950 finished g. ,-2.3333, corr_moves[max:10] ,9.954, mean_rew ,-2.81,   0:40:35.589395,playing t=20.18, lr=[0.001334174535973326]
Game ,7200000, mean_rew of 4950 finished g. ,-2.3442, corr_moves[max:10] ,9.953, mean_rew ,-2.82,   0:41:29.062411,playing t=20.01, lr=[0.0010806813741383943]
Game ,7360000, mean_rew of 4937 finished g. ,-2.3891, corr_moves[max:10] ,9.94, mean_rew ,-2.99,   0:42:22.650138,playing t=20.07, lr=[0.0012007570823759936]
Game ,7520000, mean_rew of 4948 finished g. ,-2.3608, corr_moves[max:10] ,9.954, mean_rew ,-2.86,   0:43:16.293711,playing t=20.12, lr=[0.0012007570823759936]
Game ,7680000, mean_rew of 4964 finished g. ,-2.3453, corr_moves[max:10] ,9.964, mean_rew ,-2.69,   0:44:10.094430,playing t=20.09, lr=[0.0010806813741383943]
Game ,7840000, mean_rew of 4945 finished g. ,-2.3891, corr_moves[max:10] ,9.952, mean_rew ,-2.91,   0:45:03.818022,playing t=20.08, lr=[0.0010806813741383943]
Game ,8000000, mean_rew of 4942 finished g. ,-2.3223, corr_moves[max:10] ,9.94, mean_rew ,-2.88,   0:45:57.205047,playing t=20.1, lr=[0.0008753519130520994]
Game ,8160000, mean_rew of 4941 finished g. ,-2.3196, corr_moves[max:10] ,9.947, mean_rew ,-2.88,   0:46:50.453635,playing t=19.93, lr=[0.0009726132367245549]
Game ,8320000, mean_rew of 4956 finished g. ,-2.3354, corr_moves[max:10] ,9.952, mean_rew ,-2.75,   0:47:43.940026,playing t=20.05, lr=[0.0009726132367245549]
Game ,8480000, mean_rew of 4949 finished g. ,-2.3077, corr_moves[max:10] ,9.943, mean_rew ,-2.79,   0:48:37.556676,playing t=20.23, lr=[0.0008753519130520994]
Game ,8640000, mean_rew of 4955 finished g. ,-2.3968, corr_moves[max:10] ,9.954, mean_rew ,-2.83,   0:49:31.156906,playing t=20.09, lr=[0.0008753519130520994]
Game ,8800000, mean_rew of 4957 finished g. ,-2.3034, corr_moves[max:10] ,9.959, mean_rew ,-2.71,   0:50:24.409925,playing t=20.08, lr=[0.0007090350495722005]
Game ,8960000, mean_rew of 4941 finished g. ,-2.2935, corr_moves[max:10] ,9.942, mean_rew ,-2.86,   0:51:17.830105,playing t=20.14, lr=[0.0007878167217468895]
Game ,9120000, mean_rew of 4963 finished g. ,-2.326, corr_moves[max:10] ,9.962, mean_rew ,-2.68,   0:52:11.476978,playing t=20.08, lr=[0.0007878167217468895]
Game ,9280000, mean_rew of 4956 finished g. ,-2.3281, corr_moves[max:10] ,9.953, mean_rew ,-2.75,   0:53:05.343721,playing t=20.09, lr=[0.0007090350495722005]
Game ,9440000, mean_rew of 4959 finished g. ,-2.3237, corr_moves[max:10] ,9.959, mean_rew ,-2.71,   0:53:58.860285,playing t=20.02, lr=[0.0007090350495722005]
Game ,9600000, mean_rew of 4953 finished g. ,-2.2857, corr_moves[max:10] ,9.952, mean_rew ,-2.73,   0:54:52.610233,playing t=20.1, lr=[0.0005743183901534824]
Game ,9760000, mean_rew of 4959 finished g. ,-2.3313, corr_moves[max:10] ,9.962, mean_rew ,-2.72,   0:55:46.170466,playing t=20.01, lr=[0.0006381315446149805]
Game ,9920000, mean_rew of 4955 finished g. ,-2.3106, corr_moves[max:10] ,9.959, mean_rew ,-2.74,   0:56:39.668865,playing t=20.15, lr=[0.0006381315446149805]
Game ,10080000, mean_rew of 4959 finished g. ,-2.2974, corr_moves[max:10] ,9.959, mean_rew ,-2.69,   0:57:33.090046,playing t=20.14, lr=[0.0005743183901534824]
Game ,10240000, mean_rew of 4947 finished g. ,-2.3273, corr_moves[max:10] ,9.943, mean_rew ,-2.83,   0:58:26.704490,playing t=20.09, lr=[0.0005743183901534824]
