Game ,0080000, mean_rew of 0 finished g. ,0.0, of random ,0.0, corr_moves[max:10] , 0.7, mean_rew ,-1e+02,   0:00:21.287980,playing t=18.31, lr=[0.008], batch=79923
Game ,0240300, mean_rew of 6 finished g. ,-3.8333, of random ,-1.3889, corr_moves[max:10] ,2.41, mean_rew ,-99.9,   0:01:02.534384,playing t=17.98, lr=[0.008], batch=160172
Game ,0401000, mean_rew of 103 finished g. ,-2.068, of random ,-1.9773, corr_moves[max:10] ,4.316, mean_rew ,-98.0,   0:01:45.510925,playing t=18.25, lr=[0.008], batch=160601
Game ,0562100, mean_rew of 773 finished g. ,-1.9107, of random ,-2.0298, corr_moves[max:10] ,6.217, mean_rew ,-84.8,   0:02:30.411931,playing t=18.59, lr=[0.008], batch=161041
Game ,0723600, mean_rew of 1966 finished g. ,-1.9003, of random ,-2.0332, corr_moves[max:10] ,7.444, mean_rew ,-61.4,   0:03:15.998127,playing t=19.39, lr=[0.008], batch=161462
Game ,0885500, mean_rew of 2708 finished g. ,-1.7574, of random ,-2.0809, corr_moves[max:10] ,7.915, mean_rew ,-46.8,   0:04:02.105477,playing t=19.03, lr=[0.008], batch=161889
Game ,1047800, mean_rew of 3126 finished g. ,-1.7207, of random ,-2.0931, corr_moves[max:10] ,8.231, mean_rew ,-38.6,   0:04:49.152514,playing t=19.54, lr=[0.008], batch=162258
Game ,1210500, mean_rew of 3293 finished g. ,-1.6954, of random ,-2.1015, corr_moves[max:10] ,8.448, mean_rew ,-35.3,   0:05:36.522742,playing t=19.62, lr=[0.008], batch=162683
Game ,1373600, mean_rew of 3334 finished g. ,-1.5549, of random ,-2.1484, corr_moves[max:10] ,8.491, mean_rew ,-34.4,   0:06:24.508899,playing t=19.9, lr=[0.008], batch=163075
Game ,1537100, mean_rew of 3391 finished g. ,-1.4134, of random ,-2.1955, corr_moves[max:10] ,8.575, mean_rew ,-33.1,   0:07:12.526674,playing t=20.09, lr=[0.008], batch=163476
Game ,1701000, mean_rew of 3473 finished g. ,-1.3107, of random ,-2.2298, corr_moves[max:10] ,8.62, mean_rew ,-31.5,   0:08:01.505263,playing t=20.11, lr=[0.008], batch=163866
Game ,1865300, mean_rew of 3547 finished g. ,-1.2334, of random ,-2.2555, corr_moves[max:10] ,8.703, mean_rew ,-29.9,   0:08:50.573288,playing t=20.39, lr=[0.008], batch=164280
Game ,2030000, mean_rew of 3542 finished g. ,-1.1494, of random ,-2.2835, corr_moves[max:10] ,8.69, mean_rew ,-30.0,   0:09:39.609448,playing t=20.47, lr=[0.008], batch=164682
Game ,2195100, mean_rew of 3543 finished g. ,-1.1504, of random ,-2.2832, corr_moves[max:10] ,8.715, mean_rew ,-30.0,   0:10:28.844705,playing t=20.3, lr=[0.008], batch=165087
Game ,2360600, mean_rew of 3641 finished g. ,-1.058, of random ,-2.314, corr_moves[max:10] ,8.781, mean_rew ,-28.0,   0:11:18.885599,playing t=20.83, lr=[0.008], batch=165485
Game ,2526500, mean_rew of 3617 finished g. ,-1.0382, of random ,-2.3206, corr_moves[max:10] ,8.782, mean_rew ,-28.4,   0:12:08.646638,playing t=20.38, lr=[0.008], batch=165881
Game ,2692800, mean_rew of 3686 finished g. ,-1.0071, of random ,-2.331, corr_moves[max:10] ,8.807, mean_rew ,-27.0,   0:12:58.467671,playing t=20.36, lr=[0.008], batch=166275
Game ,2859500, mean_rew of 3742 finished g. ,-0.95083, of random ,-2.3497, corr_moves[max:10] ,8.867, mean_rew ,-25.9,   0:13:48.143443,playing t=20.39, lr=[0.008], batch=166679
Game ,3026600, mean_rew of 3741 finished g. ,-0.90056, of random ,-2.3665, corr_moves[max:10] ,8.848, mean_rew ,-25.9,   0:14:38.538868,playing t=20.84, lr=[0.008], batch=167079
Game ,3194100, mean_rew of 3717 finished g. ,-0.90073, of random ,-2.3664, corr_moves[max:10] ,8.841, mean_rew ,-26.3,   0:15:29.572938,playing t=21.23, lr=[0.008], batch=167498
