Game ,0560000, mean_rew of 2486 finished g. ,-2.134, of random ,-7.7262, corr_moves[max:17] ,12.71, mean_rew ,-51.3,   0:02:16.927443,playing t=10.38, lr=[0.01], batch=159120
Game ,0720000, mean_rew of 2504 finished g. ,-1.9669, of random ,-7.8604, corr_moves[max:17] ,12.71, mean_rew ,-50.9,   0:02:55.983665,playing t=9.92, lr=[0.01], batch=159120
Game ,0880000, mean_rew of 2522 finished g. ,-1.6642, of random ,-7.8799, corr_moves[max:17] ,12.77, mean_rew ,-50.4,   0:03:35.153822,playing t=10.34, lr=[0.01], batch=159120
Game ,1040000, mean_rew of 2554 finished g. ,-1.6253, of random ,-7.8853, corr_moves[max:17] ,12.74, mean_rew ,-49.8,   0:04:14.723118,playing t=10.03, lr=[0.01], batch=159120
Game ,1200000, mean_rew of 2505 finished g. ,-1.6623, of random ,-7.9143, corr_moves[max:17] ,12.72, mean_rew ,-50.7,   0:04:53.297859,playing t=9.78, lr=[0.01], batch=159120
Game ,1360000, mean_rew of 2567 finished g. ,-1.4289, of random ,-7.9591, corr_moves[max:17] ,12.92, mean_rew ,-49.4,   0:05:32.130012,playing t=9.95, lr=[0.01], batch=159120
Game ,1520000, mean_rew of 2521 finished g. ,-1.5026, of random ,-7.9966, corr_moves[max:17] ,12.82, mean_rew ,-50.3,   0:06:11.147855,playing t=10.0, lr=[0.01], batch=159120
Game ,1680000, mean_rew of 2562 finished g. ,-1.482, of random ,-7.9189, corr_moves[max:17] ,12.81, mean_rew ,-49.5,   0:06:49.775252,playing t=9.91, lr=[0.01], batch=159120
Game ,1840000, mean_rew of 2613 finished g. ,-1.4198, of random ,-7.9187, corr_moves[max:17] ,12.87, mean_rew ,-48.5,   0:07:28.195310,playing t=9.9, lr=[0.01], batch=159120
Game ,2000000, mean_rew of 2604 finished g. ,-1.4278, of random ,-7.9503, corr_moves[max:17] ,12.94, mean_rew ,-48.7,   0:08:06.774779,playing t=9.94, lr=[0.01], batch=159120
Game ,2160000, mean_rew of 2602 finished g. ,-1.3739, of random ,-8.0551, corr_moves[max:17] ,12.83, mean_rew ,-48.7,   0:08:45.494125,playing t=9.9, lr=[0.01], batch=159120
Game ,2320000, mean_rew of 2600 finished g. ,-1.1565, of random ,-8.0523, corr_moves[max:17] ,12.88, mean_rew ,-48.6,   0:09:24.160819,playing t=9.92, lr=[0.01], batch=159120
Game ,2480000, mean_rew of 2540 finished g. ,-1.2169, of random ,-8.0249, corr_moves[max:17] ,12.8, mean_rew ,-49.8,   0:10:02.709236,playing t=9.98, lr=[0.01], batch=159120
Game ,2640000, mean_rew of 2517 finished g. ,-1.0906, of random ,-8.0964, corr_moves[max:17] ,12.71, mean_rew ,-50.2,   0:10:41.600991,playing t=9.96, lr=[0.01], batch=159120
Game ,2800000, mean_rew of 2549 finished g. ,-1.082, of random ,-8.0901, corr_moves[max:17] ,12.76, mean_rew ,-49.6,   0:11:20.355189,playing t=9.97, lr=[0.01], batch=159120
Game ,2960000, mean_rew of 2563 finished g. ,-1.11, of random ,-8.1129, corr_moves[max:17] ,12.81, mean_rew ,-49.3,   0:11:59.312669,playing t=10.02, lr=[0.01], batch=159120
Game ,3120000, mean_rew of 2547 finished g. ,-1.115, of random ,-8.0767, corr_moves[max:17] ,12.74, mean_rew ,-49.6,   0:12:38.192290,playing t=10.03, lr=[0.01], batch=159120
Game ,3280000, mean_rew of 2529 finished g. ,-1.2989, of random ,-8.0014, corr_moves[max:17] ,12.71, mean_rew ,-50.1,   0:13:16.893277,playing t=9.89, lr=[0.01], batch=159120
Game ,3440000, mean_rew of 2572 finished g. ,-1.1785, of random ,-8.0407, corr_moves[max:17] ,12.76, mean_rew ,-49.2,   0:13:55.646624,playing t=9.98, lr=[0.01], batch=159120
