Game ,40000, mean_rew of 0 finished g. ,0, of random ,0, corr_moves[max:17] ,0.5292, mean_rew ,-100,00:00:11.37,playing t=7.2, lr=[0.01], batch=39850
Game ,120300, mean_rew of 0 finished g. ,0, of random ,0, corr_moves[max:17] ,1.845, mean_rew ,-100,00:00:29.47,playing t=5.22, lr=[0.01], batch=80016
Game ,201000, mean_rew of 0 finished g. ,0, of random ,0, corr_moves[max:17] ,3.384, mean_rew ,-100,00:00:48.08,playing t=5.23, lr=[0.01], batch=80456
Game ,282100, mean_rew of 0 finished g. ,0, of random ,0, corr_moves[max:17] ,5.548, mean_rew ,-100,00:01:07.30,playing t=4.99, lr=[0.01], batch=80895
Game ,363600, mean_rew of 2 finished g. ,-11, of random ,-5.8333, corr_moves[max:17] ,7.303, mean_rew ,-100,00:01:27.27,playing t=4.96, lr=[0.01], batch=81334
Game ,445500, mean_rew of 20 finished g. ,-4.15, of random ,-6.8167, corr_moves[max:17] ,8.899, mean_rew ,-99.6,00:01:47.29,playing t=4.89, lr=[0.01], batch=81645
Game ,527800, mean_rew of 184 finished g. ,-6.9674, of random ,-5.6938, corr_moves[max:17] ,10.24, mean_rew ,-96.6,00:02:07.82,playing t=4.86, lr=[0.01], batch=82046
Game ,610500, mean_rew of 610 finished g. ,-6.2115, of random ,-5.7902, corr_moves[max:17] ,11.6, mean_rew ,-88.6,00:02:28.98,playing t=4.83, lr=[0.01], batch=82399
Game ,693600, mean_rew of 1363 finished g. ,-6.5026, of random ,-5.6857, corr_moves[max:17] ,12.69, mean_rew ,-74.5,00:02:50.58,playing t=4.83, lr=[0.01], batch=82737
Game ,777100, mean_rew of 2347 finished g. ,-6.4636, of random ,-5.7877, corr_moves[max:17] ,13.55, mean_rew ,-56.1,00:03:12.39,playing t=4.87, lr=[0.01], batch=83113
Game ,861000, mean_rew of 2854 finished g. ,-6.1762, of random ,-5.778, corr_moves[max:17] ,14.06, mean_rew ,-46.4,00:03:34.82,playing t=4.88, lr=[0.01], batch=83483
Game ,945300, mean_rew of 3342 finished g. ,-6.3315, of random ,-5.8424, corr_moves[max:17] ,14.59, mean_rew ,-37.4,00:03:57.44,playing t=4.92, lr=[0.01], batch=83776
Game ,1030000, mean_rew of 3727 finished g. ,-6.1715, of random ,-5.8275, corr_moves[max:17] ,15.12, mean_rew ,-30.1,00:04:20.65,playing t=4.93, lr=[0.01], batch=84163
Game ,1115100, mean_rew of 3971 finished g. ,-6.0179, of random ,-5.9478, corr_moves[max:17] ,15.42, mean_rew ,-25.4,00:04:43.75,playing t=4.99, lr=[0.01], batch=84528
Game ,1200600, mean_rew of 4082 finished g. ,-5.8253, of random ,-5.9888, corr_moves[max:17] ,15.64, mean_rew ,-23.1,00:05:06.90,playing t=4.99, lr=[0.01], batch=85059
Game ,1286500, mean_rew of 4201 finished g. ,-5.641, of random ,-6.0406, corr_moves[max:17] ,15.72, mean_rew ,-20.7,00:05:30.32,playing t=4.96, lr=[0.01], batch=85369
Game ,1372800, mean_rew of 4277 finished g. ,-5.4066, of random ,-6.1952, corr_moves[max:17] ,15.87, mean_rew ,-19.1,00:05:54.02,playing t=5.01, lr=[0.01], batch=85634
Game ,1459500, mean_rew of 4298 finished g. ,-5.2229, of random ,-6.1781, corr_moves[max:17] ,15.88, mean_rew ,-18.5,00:06:17.27,playing t=5.03, lr=[0.01], batch=86097
Game ,1546600, mean_rew of 4315 finished g. ,-5.2538, of random ,-6.1434, corr_moves[max:17] ,15.81, mean_rew ,-18.2,00:06:40.82,playing t=5.08, lr=[0.01], batch=86413
Game ,1634100, mean_rew of 4306 finished g. ,-5.2011, of random ,-6.1688, corr_moves[max:17] ,15.81, mean_rew ,-18.4,00:07:04.52,playing t=5.14, lr=[0.01], batch=86843
Game ,1722000, mean_rew of 4380 finished g. ,-5.0011, of random ,-6.2453, corr_moves[max:17] ,15.91, mean_rew ,-16.8,00:07:28.21,playing t=5.09, lr=[0.01], batch=87260
Game ,1810300, mean_rew of 4405 finished g. ,-4.7217, of random ,-6.3176, corr_moves[max:17] ,15.99, mean_rew ,-16.1,00:07:52.04,playing t=5.14, lr=[0.01], batch=87550
Game ,1899000, mean_rew of 4388 finished g. ,-4.6787, of random ,-6.2968, corr_moves[max:17] ,15.89, mean_rew ,-16.3,00:08:15.98,playing t=5.18, lr=[0.01], batch=88156
Game ,1988100, mean_rew of 4370 finished g. ,-4.54, of random ,-6.402, corr_moves[max:17] ,15.88, mean_rew ,-16.6,00:08:39.87,playing t=5.19, lr=[0.01], batch=88428
Game ,2077600, mean_rew of 4287 finished g. ,-4.4136, of random ,-6.4476, corr_moves[max:17] ,15.73, mean_rew ,-18,00:09:03.97,playing t=5.22, lr=[0.01], batch=88953
Game ,2167500, mean_rew of 4385 finished g. ,-4.21, of random ,-6.521, corr_moves[max:17] ,15.92, mean_rew ,-16,00:09:28.08,playing t=5.21, lr=[0.01], batch=89287
Game ,2257800, mean_rew of 4448 finished g. ,-4.2837, of random ,-6.5052, corr_moves[max:17] ,16.08, mean_rew ,-14.9,00:09:52.33,playing t=5.26, lr=[0.01], batch=89581
Game ,2348500, mean_rew of 4372 finished g. ,-4.3063, of random ,-6.4984, corr_moves[max:17] ,15.92, mean_rew ,-16.3,00:10:16.58,playing t=5.23, lr=[0.01], batch=90085
Game ,2439600, mean_rew of 4348 finished g. ,-4.0897, of random ,-6.522, corr_moves[max:17] ,15.85, mean_rew ,-16.6,00:10:40.85,playing t=5.3, lr=[0.01], batch=90632
Game ,2531100, mean_rew of 4303 finished g. ,-4.1734, of random ,-6.505, corr_moves[max:17] ,15.82, mean_rew ,-17.5,00:11:05.52,playing t=5.34, lr=[0.01], batch=90977
Game ,2623000, mean_rew of 4391 finished g. ,-4.1587, of random ,-6.499, corr_moves[max:17] ,15.93, mean_rew ,-15.8,00:11:29.77,playing t=5.3, lr=[0.01], batch=91276
Game ,2715300, mean_rew of 4401 finished g. ,-3.9105, of random ,-6.609, corr_moves[max:17] ,15.94, mean_rew ,-15.4,00:11:54.21,playing t=5.37, lr=[0.01], batch=91731
Game ,2808000, mean_rew of 4351 finished g. ,-3.8476, of random ,-6.6292, corr_moves[max:17] ,15.86, mean_rew ,-16.3,00:12:18.75,playing t=5.37, lr=[0.01], batch=92180
Game ,2901100, mean_rew of 4317 finished g. ,-3.839, of random ,-6.6473, corr_moves[max:17] ,15.8, mean_rew ,-17,00:12:43.19,playing t=5.42, lr=[0.01], batch=92434
Game ,2994600, mean_rew of 4428 finished g. ,-3.9519, of random ,-6.5505, corr_moves[max:17] ,15.98, mean_rew ,-14.9,00:13:07.91,playing t=5.44, lr=[0.01], batch=92871
Game ,3088500, mean_rew of 4363 finished g. ,-3.9663, of random ,-6.5348, corr_moves[max:17] ,15.86, mean_rew ,-16.2,00:13:32.54,playing t=5.47, lr=[0.01], batch=93319
Game ,3182800, mean_rew of 4391 finished g. ,-3.9207, of random ,-6.5628, corr_moves[max:17] ,15.88, mean_rew ,-15.6,00:13:57.46,playing t=5.56, lr=[0.01], batch=93663
Game ,3277500, mean_rew of 4474 finished g. ,-3.7997, of random ,-6.572, corr_moves[max:17] ,16.04, mean_rew ,-13.9,00:14:22.30,playing t=5.55, lr=[0.01], batch=93964
Game ,3372600, mean_rew of 4475 finished g. ,-3.4427, of random ,-6.6988, corr_moves[max:17] ,16.13, mean_rew ,-13.6,00:14:47.15,playing t=5.52, lr=[0.01], batch=94568
Game ,3468100, mean_rew of 4381 finished g. ,-3.6535, of random ,-6.7014, corr_moves[max:17] ,15.96, mean_rew ,-15.6,00:15:12.70,playing t=5.57, lr=[0.01], batch=94836
Game ,3564000, mean_rew of 4434 finished g. ,-3.6222, of random ,-6.6336, corr_moves[max:17] ,16.01, mean_rew ,-14.5,00:15:37.98,playing t=5.56, lr=[0.01], batch=95251
Game ,3660300, mean_rew of 4498 finished g. ,-3.6603, of random ,-6.6466, corr_moves[max:17] ,16.1, mean_rew ,-13.3,00:16:03.57,playing t=5.64, lr=[0.01], batch=95641
Game ,3757000, mean_rew of 4401 finished g. ,-3.5419, of random ,-6.7108, corr_moves[max:17] ,15.93, mean_rew ,-15.1,00:16:28.77,playing t=5.62, lr=[0.01], batch=96091
Game ,3854100, mean_rew of 4418 finished g. ,-3.8203, of random ,-6.6435, corr_moves[max:17] ,15.97, mean_rew ,-15,00:16:54.02,playing t=5.63, lr=[0.01], batch=96398
Game ,3951600, mean_rew of 4463 finished g. ,-3.5693, of random ,-6.6606, corr_moves[max:17] ,16.05, mean_rew ,-13.9,00:17:19.51,playing t=5.65, lr=[0.01], batch=96806
Game ,4049500, mean_rew of 4498 finished g. ,-3.502, of random ,-6.6935, corr_moves[max:17] ,16.11, mean_rew ,-13.2,00:17:45.31,playing t=5.67, lr=[0.01], batch=97297
Game ,4147800, mean_rew of 4373 finished g. ,-3.5264, of random ,-6.6897, corr_moves[max:17] ,15.96, mean_rew ,-15.6,00:18:10.92,playing t=5.72, lr=[0.01], batch=97709
Game ,4246500, mean_rew of 4461 finished g. ,-3.33, of random ,-6.7361, corr_moves[max:17] ,16.01, mean_rew ,-13.8,00:18:36.67,playing t=5.76, lr=[0.01], batch=98102
Game ,4345600, mean_rew of 4388 finished g. ,-3.3038, of random ,-6.8308, corr_moves[max:17] ,15.93, mean_rew ,-15.1,00:19:02.35,playing t=5.77, lr=[0.01], batch=98370
Game ,4445100, mean_rew of 4437 finished g. ,-3.3115, of random ,-6.7692, corr_moves[max:17] ,16.09, mean_rew ,-14.2,00:19:28.43,playing t=5.85, lr=[0.01], batch=98864
Game ,4545000, mean_rew of 4435 finished g. ,-3.2674, of random ,-6.7769, corr_moves[max:17] ,16.05, mean_rew ,-14.2,00:19:54.51,playing t=5.8, lr=[0.01], batch=99275
Game ,4645300, mean_rew of 4396 finished g. ,-3.4086, of random ,-6.7637, corr_moves[max:17] ,16, mean_rew ,-15.1,00:20:20.55,playing t=5.81, lr=[0.01], batch=99696
Game ,4746000, mean_rew of 4395 finished g. ,-3.3813, of random ,-6.7432, corr_moves[max:17] ,15.92, mean_rew ,-15.1,00:20:46.58,playing t=5.88, lr=[0.01], batch=100111
Game ,4847100, mean_rew of 4445 finished g. ,-3.3649, of random ,-6.7361, corr_moves[max:17] ,15.96, mean_rew ,-14.1,00:21:12.39,playing t=5.89, lr=[0.01], batch=100585
Game ,4948600, mean_rew of 4480 finished g. ,-3.2181, of random ,-6.8261, corr_moves[max:17] ,16.09, mean_rew ,-13.3,00:21:38.46,playing t=5.86, lr=[0.01], batch=100851
Game ,5050500, mean_rew of 4464 finished g. ,-3.1893, of random ,-6.8216, corr_moves[max:17] ,16.04, mean_rew ,-13.6,00:22:04.93,playing t=5.96, lr=[0.01], batch=101457
