Game ,0000000, reward per game in 0 g. ,0.0, corr_moves ,0.2026,  Time ,0:00:02.718800,
Game ,0002000, reward per game in 0 g. ,0.0, corr_moves ,0.219,  Time ,0:00:15.459989,
Game ,0004000, reward per game in 0 g. ,0.0, corr_moves ,0.2306,  Time ,0:00:28.105351,
Game ,0006000, reward per game in 0 g. ,0.0, corr_moves ,0.2282,  Time ,0:00:40.996957,
Game ,0008000, reward per game in 0 g. ,0.0, corr_moves ,0.251,  Time ,0:00:53.746157,
Game ,0010000, reward per game in 0 g. ,0.0, corr_moves ,0.2508,  Time ,0:01:06.990623,
Game ,0012000, reward per game in 0 g. ,0.0, corr_moves ,0.263,  Time ,0:01:20.353274,
Game ,0014000, reward per game in 0 g. ,0.0, corr_moves ,0.2652,  Time ,0:01:33.689399,
Game ,0016000, reward per game in 0 g. ,0.0, corr_moves ,0.2672,  Time ,0:01:47.121562,
Game ,0018000, reward per game in 0 g. ,0.0, corr_moves ,0.2706,  Time ,0:02:00.270949,
Game ,0020000, reward per game in 0 g. ,0.0, corr_moves ,0.294,  Time ,0:02:13.605509,
Game ,0022000, reward per game in 0 g. ,0.0, corr_moves ,0.2946,  Time ,0:02:26.684616,
Game ,0024000, reward per game in 0 g. ,0.0, corr_moves ,0.3068,  Time ,0:02:40.316214,
Game ,0026000, reward per game in 0 g. ,0.0, corr_moves ,0.34,  Time ,0:02:54.304723,
Game ,0028000, reward per game in 0 g. ,0.0, corr_moves ,0.3704,  Time ,0:03:08.394717,
Game ,0030000, reward per game in 0 g. ,0.0, corr_moves ,0.3848,  Time ,0:03:22.629352,
Game ,0032000, reward per game in 0 g. ,0.0, corr_moves ,0.414,  Time ,0:03:37.023891,
Game ,0034000, reward per game in 0 g. ,0.0, corr_moves ,0.4428,  Time ,0:03:51.782797,
Game ,0036000, reward per game in 0 g. ,0.0, corr_moves ,0.472,  Time ,0:04:07.160798,
Game ,0038000, reward per game in 0 g. ,0.0, corr_moves ,0.5278,  Time ,0:04:22.498245,
Game ,0040000, reward per game in 0 g. ,0.0, corr_moves ,0.5622,  Time ,0:04:38.317170,
Game ,0042000, reward per game in 0 g. ,0.0, corr_moves ,0.6132,  Time ,0:04:54.675857,
Game ,0044000, reward per game in 0 g. ,0.0, corr_moves ,0.641,  Time ,0:05:10.969170,
Game ,0046000, reward per game in 0 g. ,0.0, corr_moves ,0.6622,  Time ,0:05:27.716627,
