Game ,0002000, reward per game in 4500 g. ,-1.6553, corr_moves ,5.978,  Time ,0:00:10.385003,
Game ,0004000, reward per game in 4500 g. ,-1.8771, corr_moves ,5.984,  Time ,0:00:36.735722,
Game ,0006000, reward per game in 4500 g. ,-1.8367, corr_moves ,5.983,  Time ,0:01:02.572389,
Game ,0008000, reward per game in 4500 g. ,-1.7731, corr_moves ,5.983,  Time ,0:01:28.730673,
Game ,0010000, reward per game in 4500 g. ,-1.7836, corr_moves ,5.989,  Time ,0:01:54.066803,
Game ,0012000, reward per game in 4500 g. ,-1.8996, corr_moves ,5.99,  Time ,0:02:19.693795,
Game ,0014000, reward per game in 4500 g. ,-1.776, corr_moves ,5.988,  Time ,0:02:45.135505,
Game ,0016000, reward per game in 4500 g. ,-1.6016, corr_moves ,5.986,  Time ,0:03:10.636021,
Game ,0018000, reward per game in 4500 g. ,-1.7951, corr_moves ,5.983,  Time ,0:03:36.628092,
Game ,0020000, reward per game in 4500 g. ,-1.9182, corr_moves ,5.985,  Time ,0:04:02.782931,
Game ,0022000, reward per game in 4500 g. ,-1.7044, corr_moves ,5.991,  Time ,0:04:28.213349,
Game ,0024000, reward per game in 4500 g. ,-1.8427, corr_moves ,5.985,  Time ,0:04:53.140221,
Game ,0026000, reward per game in 4500 g. ,-1.7318, corr_moves ,5.99,  Time ,0:05:18.046190,
Game ,0028000, reward per game in 4500 g. ,-1.7393, corr_moves ,5.987,  Time ,0:05:43.421669,
Game ,0030000, reward per game in 4500 g. ,-1.7418, corr_moves ,5.987,  Time ,0:06:09.279872,
Game ,0032000, reward per game in 4500 g. ,-1.8471, corr_moves ,5.987,  Time ,0:06:34.889078,
Game ,0034000, reward per game in 4500 g. ,-1.794, corr_moves ,5.986,  Time ,0:07:00.421064,
Game ,0036000, reward per game in 4500 g. ,-1.6284, corr_moves ,5.989,  Time ,0:07:26.042740,
Game ,0038000, reward per game in 4500 g. ,-1.6222, corr_moves ,5.988,  Time ,0:07:51.362902,
Game ,0040000, reward per game in 4500 g. ,-1.6669, corr_moves ,5.987,  Time ,0:08:16.415409,
Game ,0042000, reward per game in 4500 g. ,-1.7847, corr_moves ,5.989,  Time ,0:08:41.933971,
Game ,0044000, reward per game in 4500 g. ,-1.5949, corr_moves ,5.987,  Time ,0:09:07.643153,
Game ,0046000, reward per game in 4500 g. ,-1.6284, corr_moves ,5.984,  Time ,0:09:33.226502,
Game ,0048000, reward per game in 4500 g. ,-1.6071, corr_moves ,5.988,  Time ,0:09:58.788508,
Game ,0050000, reward per game in 4500 g. ,-1.7029, corr_moves ,5.985,  Time ,0:10:24.835764,
Game ,0052000, reward per game in 4500 g. ,-1.5564, corr_moves ,5.988,  Time ,0:10:50.961321,
Game ,0054000, reward per game in 4500 g. ,-1.6022, corr_moves ,5.982,  Time ,0:11:16.794918,
Game ,0056000, reward per game in 4500 g. ,-1.5802, corr_moves ,5.983,  Time ,0:11:42.401661,
Game ,0058000, reward per game in 4500 g. ,-1.5869, corr_moves ,5.991,  Time ,0:12:07.957881,
Game ,0060000, reward per game in 4500 g. ,-1.6187, corr_moves ,5.993,  Time ,0:12:33.357524,
Game ,0062000, reward per game in 4500 g. ,-1.6667, corr_moves ,5.986,  Time ,0:12:58.488424,
Game ,0064000, reward per game in 4500 g. ,-1.5996, corr_moves ,5.993,  Time ,0:13:24.079844,
Game ,0066000, reward per game in 4500 g. ,-1.642, corr_moves ,5.989,  Time ,0:13:49.713782,
Game ,0068000, reward per game in 4500 g. ,-1.5038, corr_moves ,5.992,  Time ,0:14:15.265312,
Game ,0070000, reward per game in 4500 g. ,-1.5391, corr_moves ,5.99,  Time ,0:14:40.532645,
Game ,0072000, reward per game in 4500 g. ,-1.5742, corr_moves ,5.993,  Time ,0:15:05.646656,
Game ,0074000, reward per game in 4500 g. ,-1.4318, corr_moves ,5.99,  Time ,0:15:31.276039,
Game ,0076000, reward per game in 4500 g. ,-1.5496, corr_moves ,5.988,  Time ,0:15:57.309052,
Game ,0078000, reward per game in 4500 g. ,-1.4891, corr_moves ,5.987,  Time ,0:16:22.944151,
Game ,0080000, reward per game in 4500 g. ,-1.45, corr_moves ,5.991,  Time ,0:16:48.769050,
Game ,0082000, reward per game in 4500 g. ,-1.6362, corr_moves ,5.991,  Time ,0:17:15.020701,
Game ,0084000, reward per game in 4500 g. ,-1.4376, corr_moves ,5.989,  Time ,0:17:40.515589,
Game ,0086000, reward per game in 4500 g. ,-1.4058, corr_moves ,5.989,  Time ,0:18:05.510021,
Game ,0088000, reward per game in 4500 g. ,-1.4882, corr_moves ,5.985,  Time ,0:18:30.573838,
Game ,0090000, reward per game in 4500 g. ,-1.5996, corr_moves ,5.993,  Time ,0:18:55.846115,
Game ,0092000, reward per game in 4500 g. ,-1.53, corr_moves ,5.993,  Time ,0:19:21.793266,
Game ,0094000, reward per game in 4500 g. ,-1.6182, corr_moves ,5.986,  Time ,0:19:47.381651,
Game ,0096000, reward per game in 4500 g. ,-1.5742, corr_moves ,5.991,  Time ,0:20:13.161227,
Game ,0098000, reward per game in 4500 g. ,-1.4164, corr_moves ,5.985,  Time ,0:20:38.914401,
Game ,0100000, reward per game in 4500 g. ,-1.3967, corr_moves ,5.988,  Time ,0:21:04.722440,
Game ,0102000, reward per game in 4500 g. ,-1.4896, corr_moves ,5.987,  Time ,0:21:30.550032,
Game ,0104000, reward per game in 4500 g. ,-1.5418, corr_moves ,5.992,  Time ,0:21:55.953319,
Game ,0106000, reward per game in 4500 g. ,-1.5993, corr_moves ,5.988,  Time ,0:22:21.632353,
Game ,0108000, reward per game in 4500 g. ,-1.5018, corr_moves ,5.992,  Time ,0:22:47.123521,
Game ,0110000, reward per game in 4500 g. ,-1.4756, corr_moves ,5.99,  Time ,0:23:12.359148,
Game ,0112000, reward per game in 4500 g. ,-1.4684, corr_moves ,5.995,  Time ,0:23:37.841049,
Game ,0114000, reward per game in 4500 g. ,-1.4073, corr_moves ,5.987,  Time ,0:24:03.396556,
Game ,0116000, reward per game in 4500 g. ,-1.3562, corr_moves ,5.994,  Time ,0:24:29.011484,
Game ,0118000, reward per game in 4500 g. ,-1.4696, corr_moves ,5.987,  Time ,0:24:54.547261,
Game ,0120000, reward per game in 4500 g. ,-1.4651, corr_moves ,5.993,  Time ,0:25:19.963326,
Game ,0122000, reward per game in 4500 g. ,-1.3809, corr_moves ,5.98,  Time ,0:25:45.148812,
Game ,0124000, reward per game in 4500 g. ,-1.3664, corr_moves ,5.988,  Time ,0:26:10.454848,
Game ,0126000, reward per game in 4500 g. ,-1.4964, corr_moves ,5.985,  Time ,0:26:36.019048,
Game ,0128000, reward per game in 4500 g. ,-1.4536, corr_moves ,5.982,  Time ,0:27:01.708136,
Game ,0130000, reward per game in 4500 g. ,-1.4482, corr_moves ,5.997,  Time ,0:27:27.180805,
Game ,0132000, reward per game in 4500 g. ,-1.4613, corr_moves ,5.987,  Time ,0:27:52.544623,
Game ,0134000, reward per game in 4500 g. ,-1.4631, corr_moves ,5.992,  Time ,0:28:17.921624,
Game ,0136000, reward per game in 4500 g. ,-1.51, corr_moves ,5.989,  Time ,0:28:43.385330,
Game ,0138000, reward per game in 4500 g. ,-1.3973, corr_moves ,5.986,  Time ,0:29:08.730085,
