Game ,0002000, reward per game in 24 g. ,-2.125, corr_moves ,1.945,  Time ,0:00:06.116228,
Game ,0004000, reward per game in 44 g. ,-1.6591, corr_moves ,2.017,  Time ,0:00:15.518960,
Game ,0006000, reward per game in 47 g. ,-2.3404, corr_moves ,2.022,  Time ,0:00:24.579758,
Game ,0008000, reward per game in 42 g. ,-1.5952, corr_moves ,2.098,  Time ,0:00:33.732976,
Game ,0010000, reward per game in 45 g. ,-1.8222, corr_moves ,2.136,  Time ,0:00:42.955157,
Game ,0012000, reward per game in 58 g. ,-1.6034, corr_moves ,2.223,  Time ,0:00:52.542845,
Game ,0014000, reward per game in 57 g. ,-0.96491, corr_moves ,2.262,  Time ,0:01:02.763310,
Game ,0016000, reward per game in 68 g. ,-0.97059, corr_moves ,2.322,  Time ,0:01:12.828977,
Game ,0018000, reward per game in 52 g. ,-1.2692, corr_moves ,2.352,  Time ,0:01:23.281472,
Game ,0020000, reward per game in 77 g. ,-1.5714, corr_moves ,2.439,  Time ,0:01:33.611478,
Game ,0022000, reward per game in 85 g. ,-1.8235, corr_moves ,2.436,  Time ,0:01:44.050816,
Game ,0024000, reward per game in 81 g. ,-1.5802, corr_moves , 2.5,  Time ,0:01:54.928669,
Game ,0026000, reward per game in 80 g. ,-1.3, corr_moves ,2.511,  Time ,0:02:05.673030,
Game ,0028000, reward per game in 92 g. ,-1.3696, corr_moves ,2.525,  Time ,0:02:16.589952,
Game ,0030000, reward per game in 96 g. ,-1.5938, corr_moves ,2.579,  Time ,0:02:27.643115,
Game ,0032000, reward per game in 107 g. ,-1.9252, corr_moves ,2.637,  Time ,0:02:39.158811,
Game ,0034000, reward per game in 154 g. ,-1.8766, corr_moves ,2.667,  Time ,0:02:50.813689,
Game ,0036000, reward per game in 120 g. ,-1.325, corr_moves ,2.701,  Time ,0:03:02.560690,
Game ,0038000, reward per game in 143 g. ,-2.014, corr_moves ,2.759,  Time ,0:03:14.548652,
Game ,0040000, reward per game in 173 g. ,-1.2659, corr_moves ,2.784,  Time ,0:03:26.585560,
Game ,0042000, reward per game in 199 g. ,-1.608, corr_moves ,2.851,  Time ,0:03:38.830131,
Game ,0044000, reward per game in 214 g. ,-2.2243, corr_moves ,2.855,  Time ,0:03:50.913771,
Game ,0046000, reward per game in 242 g. ,-1.562, corr_moves ,2.946,  Time ,0:04:03.224978,
Game ,0048000, reward per game in 246 g. ,-1.7439, corr_moves ,2.942,  Time ,0:04:15.691076,
Game ,0050000, reward per game in 261 g. ,-1.8238, corr_moves ,2.966,  Time ,0:04:28.325027,
Game ,0052000, reward per game in 277 g. ,-1.7834, corr_moves ,3.013,  Time ,0:04:41.069485,
Game ,0054000, reward per game in 293 g. ,-1.4096, corr_moves ,3.057,  Time ,0:04:53.805382,
Game ,0056000, reward per game in 314 g. ,-1.9968, corr_moves ,3.085,  Time ,0:05:06.675421,
