Game ,0002000, reward per game in 4500 g. ,-1.2176, corr_moves ,5.991,  Time ,0:00:10.172512,
Game ,0004000, reward per game in 4500 g. ,-1.1627, corr_moves ,5.992,  Time ,0:00:35.117320,
Game ,0006000, reward per game in 4500 g. ,-1.2169, corr_moves ,5.993,  Time ,0:00:58.986882,
Game ,0008000, reward per game in 4500 g. ,-1.3087, corr_moves ,5.992,  Time ,0:01:22.875677,
Game ,0010000, reward per game in 4500 g. ,-1.2258, corr_moves ,5.991,  Time ,0:01:46.707679,
Game ,0012000, reward per game in 4500 g. ,-1.2678, corr_moves ,5.989,  Time ,0:02:10.917535,
Game ,0014000, reward per game in 4500 g. ,-1.3667, corr_moves ,5.993,  Time ,0:02:35.093136,
Game ,0016000, reward per game in 4500 g. ,-1.328, corr_moves ,5.992,  Time ,0:02:59.457866,
Game ,0018000, reward per game in 4500 g. ,-1.2949, corr_moves ,5.993,  Time ,0:03:23.823270,
Game ,0020000, reward per game in 4500 g. ,-1.2453, corr_moves ,5.992,  Time ,0:03:48.167746,
Game ,0022000, reward per game in 4500 g. ,-1.1716, corr_moves ,5.994,  Time ,0:04:12.624637,
Game ,0024000, reward per game in 4500 g. ,-1.3391, corr_moves ,5.991,  Time ,0:04:36.973543,
Game ,0026000, reward per game in 4500 g. ,-1.2531, corr_moves ,5.995,  Time ,0:05:01.066772,
Game ,0028000, reward per game in 4500 g. ,-1.3302, corr_moves ,5.989,  Time ,0:05:24.998706,
Game ,0030000, reward per game in 4500 g. ,-1.2471, corr_moves ,5.991,  Time ,0:05:49.069527,
Game ,0032000, reward per game in 4500 g. ,-1.254, corr_moves ,5.993,  Time ,0:06:12.695862,
Game ,0034000, reward per game in 4500 g. ,-1.1678, corr_moves ,5.991,  Time ,0:06:36.671416,
Game ,0036000, reward per game in 4500 g. ,-1.2811, corr_moves ,5.993,  Time ,0:07:01.015070,
Game ,0038000, reward per game in 4500 g. ,-1.2478, corr_moves ,5.99,  Time ,0:07:25.350409,
Game ,0040000, reward per game in 4500 g. ,-1.2138, corr_moves ,5.994,  Time ,0:07:49.728237,
Game ,0042000, reward per game in 4500 g. ,-1.228, corr_moves ,5.992,  Time ,0:08:15.446635,
Game ,0044000, reward per game in 4500 g. ,-1.336, corr_moves ,5.991,  Time ,0:08:41.091808,
Game ,0046000, reward per game in 4500 g. ,-1.2956, corr_moves ,5.992,  Time ,0:09:06.655861,
Game ,0048000, reward per game in 4500 g. ,-1.2484, corr_moves ,5.989,  Time ,0:09:31.653666,
Game ,0050000, reward per game in 4500 g. ,-1.316, corr_moves ,5.993,  Time ,0:09:57.001984,
Game ,0052000, reward per game in 4500 g. ,-1.2816, corr_moves ,5.994,  Time ,0:10:22.681718,
Game ,0054000, reward per game in 4500 g. ,-1.3416, corr_moves ,5.99,  Time ,0:10:48.063685,
Game ,0056000, reward per game in 4500 g. ,-1.154, corr_moves ,5.995,  Time ,0:11:13.321236,
Game ,0058000, reward per game in 4500 g. ,-1.2271, corr_moves ,5.989,  Time ,0:11:38.733076,
