Game ,0002000, reward per game in 24 g. ,-0.45833, corr_moves ,0.304,  Time ,0:00:02.986335,
Game ,0004000, reward per game in 29 g. ,-0.2069, corr_moves ,0.3162,  Time ,0:00:05.932034,
Game ,0006000, reward per game in 30 g. ,-0.33333, corr_moves ,0.3464,  Time ,0:00:08.870205,
Game ,0008000, reward per game in 67 g. ,-0.44776, corr_moves ,0.4306,  Time ,0:00:12.039572,
Game ,0010000, reward per game in 65 g. ,-0.30769, corr_moves ,0.5008,  Time ,0:00:15.325898,
Game ,0012000, reward per game in 136 g. ,-0.30147, corr_moves ,0.6514,  Time ,0:00:18.838228,
Game ,0014000, reward per game in 216 g. ,-0.34722, corr_moves ,0.7942,  Time ,0:00:22.576391,
Game ,0016000, reward per game in 321 g. ,-0.41745, corr_moves ,0.941,  Time ,0:00:26.676656,
Game ,0018000, reward per game in 532 g. ,-0.35526, corr_moves ,1.153,  Time ,0:00:31.328116,
Game ,0020000, reward per game in 831 g. ,-0.31649, corr_moves ,1.412,  Time ,0:00:36.646558,
Game ,0022000, reward per game in 1210 g. ,-0.28678, corr_moves ,1.656,  Time ,0:00:42.418619,
Game ,0024000, reward per game in 1548 g. ,-0.30749, corr_moves ,1.836,  Time ,0:00:48.646571,
Game ,0026000, reward per game in 1933 g. ,-0.31868, corr_moves ,2.009,  Time ,0:00:55.614724,
Game ,0028000, reward per game in 2175 g. ,-0.30345, corr_moves ,2.126,  Time ,0:01:02.962167,
Game ,0030000, reward per game in 2322 g. ,-0.32558, corr_moves ,2.195,  Time ,0:01:10.706357,
Game ,0032000, reward per game in 2533 g. ,-0.31386, corr_moves ,2.267,  Time ,0:01:18.886686,
Game ,0034000, reward per game in 2816 g. ,-0.36719, corr_moves ,2.341,  Time ,0:01:27.158747,
Game ,0036000, reward per game in 3120 g. ,-0.35481, corr_moves ,2.427,  Time ,0:01:35.587153,
Game ,0038000, reward per game in 3452 g. ,-0.39397, corr_moves ,2.515,  Time ,0:01:44.537733,
Game ,0040000, reward per game in 3786 g. ,-0.40835, corr_moves ,2.606,  Time ,0:01:53.742859,
Game ,0042000, reward per game in 4044 g. ,-0.45252, corr_moves ,2.674,  Time ,0:02:03.446489,
Game ,0044000, reward per game in 4303 g. ,-0.46898, corr_moves ,2.757,  Time ,0:02:13.268987,
Game ,0046000, reward per game in 4500 g. ,-0.47556, corr_moves ,2.823,  Time ,0:02:23.558952,
Game ,0048000, reward per game in 4500 g. ,-0.482, corr_moves ,2.85,  Time ,0:02:34.305052,
Game ,0050000, reward per game in 4500 g. ,-0.47689, corr_moves ,2.895,  Time ,0:02:45.294555,
Game ,0052000, reward per game in 4500 g. ,-0.49733, corr_moves ,2.918,  Time ,0:02:56.514613,
Game ,0054000, reward per game in 4500 g. ,-0.49756, corr_moves ,2.94,  Time ,0:03:07.803273,
Game ,0056000, reward per game in 4500 g. ,-0.51, corr_moves ,2.956,  Time ,0:03:19.266485,
Game ,0058000, reward per game in 4500 g. ,-0.48289, corr_moves ,2.96,  Time ,0:03:30.762107,
Game ,0060000, reward per game in 4500 g. ,-0.48067, corr_moves ,2.968,  Time ,0:03:42.328545,
Game ,0062000, reward per game in 4500 g. ,-0.49244, corr_moves ,2.976,  Time ,0:03:53.928416,
Game ,0064000, reward per game in 4500 g. ,-0.48378, corr_moves ,2.976,  Time ,0:04:05.542910,
Game ,0066000, reward per game in 4500 g. ,-0.48067, corr_moves ,2.981,  Time ,0:04:17.064757,
Game ,0068000, reward per game in 4500 g. ,-0.48467, corr_moves ,2.98,  Time ,0:04:28.722872,
Game ,0070000, reward per game in 4500 g. ,-0.49733, corr_moves ,2.986,  Time ,0:04:40.419377,
Game ,0072000, reward per game in 4500 g. ,-0.48956, corr_moves ,2.982,  Time ,0:04:52.095605,
Game ,0074000, reward per game in 4500 g. ,-0.48844, corr_moves ,2.987,  Time ,0:05:03.894914,
Game ,0076000, reward per game in 4500 g. ,-0.47067, corr_moves ,2.985,  Time ,0:05:15.605831,
Game ,0078000, reward per game in 4500 g. ,-0.48067, corr_moves ,2.988,  Time ,0:05:27.616321,
Game ,0080000, reward per game in 4500 g. ,-0.45511, corr_moves ,2.988,  Time ,0:05:39.504279,
Game ,0082000, reward per game in 4500 g. ,-0.47289, corr_moves ,2.987,  Time ,0:05:51.576869,
Game ,0084000, reward per game in 4500 g. ,-0.48333, corr_moves ,2.991,  Time ,0:06:03.638090,
Game ,0086000, reward per game in 4500 g. ,-0.46778, corr_moves ,2.987,  Time ,0:06:15.671487,
Game ,0088000, reward per game in 4500 g. ,-0.46644, corr_moves ,2.992,  Time ,0:06:27.591603,
Game ,0090000, reward per game in 4500 g. ,-0.47111, corr_moves ,2.99,  Time ,0:06:39.634734,
Game ,0092000, reward per game in 4500 g. ,-0.47867, corr_moves ,2.991,  Time ,0:06:51.875859,
Game ,0094000, reward per game in 4500 g. ,-0.47089, corr_moves ,2.992,  Time ,0:07:04.241891,
Game ,0096000, reward per game in 4500 g. ,-0.478, corr_moves ,2.993,  Time ,0:07:16.338549,
Game ,0098000, reward per game in 4500 g. ,-0.46756, corr_moves ,2.994,  Time ,0:07:28.120803,
Game ,0100000, reward per game in 4500 g. ,-0.49178, corr_moves ,2.991,  Time ,0:07:40.112246,
Game ,0102000, reward per game in 4500 g. ,-0.45489, corr_moves ,2.994,  Time ,0:07:52.318503,
Game ,0104000, reward per game in 4500 g. ,-0.42933, corr_moves ,2.993,  Time ,0:08:04.782684,
Game ,0106000, reward per game in 4500 g. ,-0.45044, corr_moves ,2.995,  Time ,0:08:16.841505,
Game ,0108000, reward per game in 4500 g. ,-0.446, corr_moves ,2.994,  Time ,0:08:28.743826,
Game ,0110000, reward per game in 4500 g. ,-0.43511, corr_moves ,2.996,  Time ,0:08:40.843542,
Game ,0112000, reward per game in 4500 g. ,-0.44511, corr_moves ,2.991,  Time ,0:08:53.014460,
Game ,0114000, reward per game in 4500 g. ,-0.426, corr_moves ,2.994,  Time ,0:09:05.312214,
Game ,0116000, reward per game in 4500 g. ,-0.43489, corr_moves ,2.995,  Time ,0:09:17.396785,
Game ,0118000, reward per game in 4500 g. ,-0.43911, corr_moves ,2.993,  Time ,0:09:29.216345,
Game ,0120000, reward per game in 4500 g. ,-0.43044, corr_moves ,2.993,  Time ,0:09:40.870810,
Game ,0122000, reward per game in 4500 g. ,-0.44644, corr_moves ,2.993,  Time ,0:09:52.572777,
Game ,0124000, reward per game in 4500 g. ,-0.44733, corr_moves ,2.995,  Time ,0:10:04.294126,
Game ,0126000, reward per game in 4500 g. ,-0.428, corr_moves ,2.991,  Time ,0:10:16.158571,
Game ,0128000, reward per game in 4500 g. ,-0.42489, corr_moves ,2.996,  Time ,0:10:28.054066,
Game ,0130000, reward per game in 4500 g. ,-0.42844, corr_moves ,2.995,  Time ,0:10:39.917590,
Game ,0132000, reward per game in 4500 g. ,-0.432, corr_moves ,2.995,  Time ,0:10:51.596166,
Game ,0134000, reward per game in 4500 g. ,-0.44644, corr_moves ,2.997,  Time ,0:11:03.250279,
Game ,0136000, reward per game in 4500 g. ,-0.43356, corr_moves ,2.996,  Time ,0:11:14.993756,
Game ,0138000, reward per game in 4500 g. ,-0.42156, corr_moves ,2.999,  Time ,0:11:27.222295,
Game ,0140000, reward per game in 4500 g. ,-0.43444, corr_moves ,2.997,  Time ,0:11:39.503700,
Game ,0142000, reward per game in 4500 g. ,-0.43178, corr_moves ,2.996,  Time ,0:11:51.463444,
Game ,0144000, reward per game in 4500 g. ,-0.43133, corr_moves ,2.997,  Time ,0:12:03.257028,
Game ,0146000, reward per game in 4500 g. ,-0.45378, corr_moves ,2.995,  Time ,0:12:15.399529,
Game ,0148000, reward per game in 4500 g. ,-0.432, corr_moves ,2.995,  Time ,0:12:27.219361,
Game ,0150000, reward per game in 4500 g. ,-0.42867, corr_moves ,2.995,  Time ,0:12:38.888503,
Game ,0152000, reward per game in 4500 g. ,-0.41867, corr_moves ,2.993,  Time ,0:12:50.756523,
Game ,0154000, reward per game in 4500 g. ,-0.41689, corr_moves ,2.997,  Time ,0:13:02.836841,
Game ,0156000, reward per game in 4500 g. ,-0.424, corr_moves ,2.997,  Time ,0:13:14.932131,
Game ,0158000, reward per game in 4500 g. ,-0.428, corr_moves ,2.998,  Time ,0:13:27.244150,
Game ,0160000, reward per game in 4500 g. ,-0.42178, corr_moves ,2.998,  Time ,0:13:39.464288,
Game ,0162000, reward per game in 4500 g. ,-0.41511, corr_moves ,2.995,  Time ,0:13:51.343597,
Game ,0164000, reward per game in 4500 g. ,-0.44267, corr_moves ,2.998,  Time ,0:14:03.173923,
Game ,0166000, reward per game in 4500 g. ,-0.42467, corr_moves ,2.998,  Time ,0:14:15.082961,
Game ,0168000, reward per game in 4500 g. ,-0.41756, corr_moves ,2.996,  Time ,0:14:27.100678,
Game ,0170000, reward per game in 4500 g. ,-0.41711, corr_moves ,2.999,  Time ,0:14:39.012687,
Game ,0172000, reward per game in 4500 g. ,-0.42644, corr_moves ,2.997,  Time ,0:14:50.920257,
Game ,0174000, reward per game in 4500 g. ,-0.41822, corr_moves ,2.997,  Time ,0:15:02.867241,
Game ,0176000, reward per game in 4500 g. ,-0.41867, corr_moves ,2.997,  Time ,0:15:14.880707,
Game ,0178000, reward per game in 4500 g. ,-0.41111, corr_moves ,2.998,  Time ,0:15:26.767075,
Game ,0180000, reward per game in 4500 g. ,-0.41756, corr_moves ,2.999,  Time ,0:15:38.714776,
Game ,0182000, reward per game in 4500 g. ,-0.38978, corr_moves ,2.997,  Time ,0:15:50.867868,
Game ,0184000, reward per game in 4500 g. ,-0.41067, corr_moves ,2.998,  Time ,0:16:02.822250,
Game ,0186000, reward per game in 4500 g. ,-0.40267, corr_moves ,2.997,  Time ,0:16:14.995485,
Game ,0188000, reward per game in 4500 g. ,-0.424, corr_moves ,2.997,  Time ,0:16:27.163961,
Game ,0190000, reward per game in 4500 g. ,-0.40733, corr_moves ,2.996,  Time ,0:16:39.424107,
