Game ,0002000, rew ,-412.31, inv_mo , 1.0, won ,[0. 0. 0. 0.],  Time ,0:00:02.561969,
Game ,0004000, rew ,-6.5125, inv_mo ,0.0035, won ,[61. 51. 50. 70.],  Time ,0:00:43.303018,
Game ,0006000, rew ,-5.8475, inv_mo ,0.001, won ,[61. 51. 59. 68.],  Time ,0:01:24.323819,
Game ,0008000, rew ,-6.126, inv_mo ,0.002, won ,[77. 52. 57. 57.],  Time ,0:02:05.733720,
Game ,0010000, rew ,-6.404, inv_mo ,0.0025, won ,[57. 55. 63. 65.],  Time ,0:02:46.380332,
Game ,0012000, rew ,-6.618, inv_mo ,0.005, won ,[56. 57. 64. 59.],  Time ,0:03:29.252421,
Game ,0014000, rew ,-6.2625, inv_mo ,0.002, won ,[69. 55. 47. 66.],  Time ,0:04:12.346908,
Game ,0016000, rew ,-5.931, inv_mo ,0.0015, won ,[58. 60. 68. 54.],  Time ,0:04:54.361948,
Game ,0018000, rew ,-6.6485, inv_mo ,0.0025, won ,[66. 38. 66. 70.],  Time ,0:05:37.349030,
Game ,0020000, rew ,-6.2145, inv_mo ,0.0025, won ,[68. 50. 53. 66.],  Time ,0:06:20.239276,
Game ,0022000, rew ,-6.0365, inv_mo ,0.0015, won ,[62. 46. 68. 64.],  Time ,0:07:03.304691,
Game ,0024000, rew ,-6.3035, inv_mo ,0.0015, won ,[65. 47. 61. 71.],  Time ,0:07:46.500189,
Game ,0026000, rew ,-5.943, inv_mo ,0.0025, won ,[53. 55. 57. 71.],  Time ,0:08:29.437159,
Game ,0028000, rew ,-6.248, inv_mo ,0.0025, won ,[60. 63. 59. 53.],  Time ,0:09:11.730696,
Game ,0030000, rew ,-6.8765, inv_mo ,0.0045, won ,[70. 50. 59. 59.],  Time ,0:09:54.288716,
Game ,0032000, rew ,-6.478, inv_mo ,0.0025, won ,[56. 52. 66. 63.],  Time ,0:10:36.999807,
Game ,0034000, rew ,-5.7985, inv_mo ,0.001, won ,[72. 46. 60. 63.],  Time ,0:11:19.675290,
Game ,0036000, rew ,-6.2435, inv_mo ,0.002, won ,[66. 44. 54. 72.],  Time ,0:12:02.133503,
Game ,0038000, rew ,-6.6795, inv_mo ,0.0045, won ,[64. 46. 67. 58.],  Time ,0:12:44.636828,
Game ,0040000, rew ,-6.104, inv_mo ,0.002, won ,[70. 42. 68. 63.],  Time ,0:13:27.822311,
